run_id,variant,latency_mean_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,latency_stddev_ms
set_01_v0,V0,18.234613150925927,18.86743295,19.01340009,19.211546,0.520673091950661
set_01_v2,V2,7.973784955555556,9.913371399999999,11.90140441,13.013431,0.9116906179078728
set_01_v3,V3,7.772004780555555,9.714377599999999,10.239621529999999,11.284009,0.7016065031355968
set_01_v4,V4,33.019876601851855,22.6659552,22.869817480000002,10236.581644,312.8307881551971
set_02_v0,V0,18.117145130555556,18.689855,18.95030915,19.300919,0.4368954621029737
set_02_v2,V2,7.773914000925926,9.76529245,10.251288010000001,11.298086,0.7268361566683534
set_02_v3,V3,7.8490913,10.06815415,11.893247490000002,13.084821,0.9881011355228461
set_02_v4,V4,31.974490646296296,22.67263355,22.93948877,8976.955426,275.0659935063815
set_03_v0,V0,18.0299207287037,18.83963725,19.03040486,19.245045,0.6596158982913967
set_03_v2,V2,7.894912394444445,10.03089235,11.884666010000002,13.05314,0.9400024262140871
set_03_v3,V3,7.854365253703704,10.039709949999999,11.89577912,13.566785,0.989387428598401
set_03_v4,V4,32.12944081388889,22.67243645,22.91275088,9173.937149,280.9156519491322
set_04_v0,V0,18.127467800925928,18.875665400000003,19.02591516,19.270357,0.6561407528442976
set_04_v2,V2,7.883983889814815,10.1004828,11.93749916,12.981842,0.9958133839972598
set_04_v3,V3,7.757933228703703,9.6939554,10.2188772,11.409833,0.7194266223251001
set_04_v4,V4,31.968376010185185,22.5824424,22.75986944,8991.817103,275.5047850578917
set_05_v0,V0,18.3306278,18.878748599999998,19.00239448,19.14277,0.34750163701018205
set_05_v2,V2,7.825530957407407,9.8642346,11.78561181,13.082165,0.8899146787215043
set_05_v3,V3,7.799161552777778,9.954259699999998,11.853817970000001,13.117717,0.9676763557450322
set_05_v4,V4,32.29751485833334,22.780966399999997,23.050861610000002,9241.86571,283.0182035450207
