run_id,variant,order_index,throughput_fps,latency_mean_ms,latency_p95_ms,latency_p99_ms,cpu_equivalent_cores
set_01_v0,V0,1,54.658236510780874,18.234613150925927,18.86743295,19.01340009,1.091904761904762
set_01_v2,V2,1,124.48284001768171,7.973784955555556,9.913371399999999,11.90140441,0.7055555555555555
set_01_v3,V3,1,127.565157343057,7.772004780555555,9.714377599999999,10.239621529999999,1.2766666666666666
set_01_v4,V4,1,26.223715307634127,33.019876601851855,22.6659552,22.869817480000002,1.0590697674418605
set_02_v0,V0,2,55.02334736537463,18.117145130555556,18.689855,18.95030915,0.7757142857142857
set_02_v2,V2,2,127.66215538641659,7.773914000925926,9.76529245,10.251288010000001,0.9466666666666667
set_02_v3,V3,2,126.35290332626093,7.8490913,10.06815415,11.893247490000002,0.722
set_02_v4,V4,2,26.96320661425226,31.974490646296296,22.67263355,22.93948877,0.9957142857142858
set_03_v0,V0,3,55.279406000420984,18.0299207287037,18.83963725,19.03040486,0.775
set_03_v2,V2,3,125.71925117105336,7.894912394444445,10.03089235,11.884666010000002,0.6977777777777778
set_03_v3,V3,3,126.09807642527579,7.854365253703704,10.039709949999999,11.89577912,0.786
set_03_v4,V4,3,26.85150203803874,32.12944081388889,22.67243645,22.91275088,0.9880952380952381
set_04_v0,V0,4,54.983400132216445,18.127467800925928,18.875665400000003,19.02591516,0.7880952380952382
set_04_v2,V2,4,125.90326088652972,7.883983889814815,10.1004828,11.93749916,0.7233333333333333
set_04_v3,V3,4,127.84228176109066,7.757933228703703,9.6939554,10.2188772,0.7144444444444445
set_04_v4,V4,4,26.969355287269305,31.968376010185185,22.5824424,22.75986944,0.9876190476190477
set_05_v0,V0,5,54.381823450911504,18.3306278,18.878748599999998,19.00239448,0.771904761904762
set_05_v2,V2,5,126.83401568301547,7.825530957407407,9.8642346,11.78561181,0.7077777777777778
set_05_v3,V3,5,127.16612302762472,7.799161552777778,9.954259699999998,11.853817970000001,0.6877777777777778
set_05_v4,V4,5,26.72255163457338,32.29751485833334,22.780966399999997,23.050861610000002,0.9728571428571429
