run_id,run,variant,checkpoint_sha256,status,attempts,image_count,instance_count,precision,recall,mAP50,mAP50_95,rank_split_v1,crazing_P,crazing_R,crazing_AP50,crazing_AP50_95,inclusion_P,inclusion_R,inclusion_AP50,inclusion_AP50_95,patches_P,patches_R,patches_AP50,patches_AP50_95,pitted_surface_P,pitted_surface_R,pitted_surface_AP50,pitted_surface_AP50_95,rolled-in_scale_P,rolled-in_scale_R,rolled-in_scale_AP50,rolled-in_scale_AP50_95,scratches_P,scratches_R,scratches_AP50,scratches_AP50_95
E4_SEED7,seed=7,seed7,5e36ae9ec419a71d6cf726624450dc528f85fed39e398c07085eaf82dba8bbb7,success,1,360,828,0.697,0.705,0.751,0.428,1,0.534,0.345,0.431,0.152,0.72,0.78,0.798,0.439,0.791,0.903,0.921,0.598,0.751,0.69,0.778,0.462,0.636,0.55,0.622,0.313,0.752,0.962,0.959,0.603
E1_V1_BASELINE,V1 baseline,v1_baseline,390a377a57ec7339633d8c5e47d32c2ddaabe46317f9cdc60c9145f8733bfbee,success,1,360,828,0.716,0.697,0.758,0.424,2,0.649,0.331,0.497,0.186,0.726,0.776,0.784,0.429,0.808,0.896,0.91,0.588,0.759,0.655,0.787,0.463,0.612,0.565,0.609,0.297,0.74,0.962,0.962,0.583
E9_SEED42_DET,seed=42 deterministic,seed42_deterministic,6ee529faaeea5596e99c76257031e82c4e2d4fb00996050c460716431edb2672,success,1,360,828,0.716,0.697,0.758,0.424,2,0.649,0.331,0.497,0.186,0.726,0.776,0.784,0.429,0.808,0.896,0.91,0.588,0.759,0.655,0.787,0.463,0.612,0.565,0.609,0.297,0.74,0.962,0.962,0.583
E8_V6_NO_WARMUP,V6 no warmup,v6_no_warmup,060892697313ee47b99bc3e9aaa53c62712d7018b430b07e889f2f345e9e00e5,success,1,360,828,0.694,0.705,0.744,0.417,3,0.565,0.31,0.419,0.152,0.691,0.785,0.785,0.418,0.825,0.909,0.924,0.608,0.787,0.701,0.796,0.463,0.542,0.573,0.6,0.294,0.755,0.952,0.939,0.566
E3_V3_NO_MOSAIC,V3 no mosaic,v3_no_mosaic,9240d3fd59a5da3c801b450138671175cd48d26a26a31446d9e1ab90ca3f3b23,success,1,360,828,0.702,0.695,0.754,0.414,4,0.504,0.269,0.421,0.149,0.761,0.762,0.795,0.417,0.817,0.903,0.926,0.61,0.766,0.678,0.809,0.455,0.577,0.605,0.613,0.284,0.786,0.952,0.96,0.57
E6_V4_ADAMW,V4 AdamW,v4_adamw,f72dc4908cb8ca2d6c252b1c5f2a6911561f7a816baf2b7270a1b48ff7345ffc,success,1,360,828,0.703,0.686,0.737,0.413,5,0.502,0.241,0.378,0.149,0.735,0.799,0.787,0.429,0.827,0.883,0.924,0.607,0.805,0.713,0.77,0.451,0.585,0.516,0.605,0.29,0.762,0.962,0.959,0.553
E7_V5_COSLR,V5 cosine LR,v5_coslr,39168666ccbdb29549ec20618e7bc64a5e050fda54e13b253f395ce68c803b0f,success,1,360,828,0.7,0.681,0.73,0.411,6,0.479,0.228,0.333,0.124,0.726,0.776,0.778,0.437,0.839,0.877,0.919,0.594,0.847,0.69,0.782,0.444,0.633,0.573,0.635,0.319,0.677,0.942,0.934,0.546
E5_SEED123,seed=123,seed123,badee99e9a5462aa5fb225ef9ca2a3c45ad082393d48657f3165c5ac82d06ed7,success,1,360,828,0.671,0.712,0.737,0.409,7,0.519,0.357,0.431,0.143,0.695,0.799,0.787,0.423,0.76,0.883,0.902,0.591,0.8,0.724,0.795,0.45,0.516,0.565,0.56,0.276,0.734,0.942,0.946,0.57
E2_V2_EXTENDED,V2 extended,v2_extended,dcac254f51c75e4c43da551d92b894d46c7986f786d91989e27905e2cb66fff8,success,1,360,828,0.672,0.695,0.719,0.401,8,0.503,0.3,0.366,0.149,0.694,0.78,0.75,0.418,0.861,0.887,0.912,0.569,0.741,0.713,0.783,0.443,0.558,0.549,0.588,0.269,0.676,0.942,0.918,0.561
