run_id,run,variant,v1_P,v1_R,v1_mAP50,v1_mAP50_95,v1_rank,v2_P,v2_R,v2_mAP50,v2_mAP50_95,v2_rank,delta_P,delta_R,delta_mAP50,delta_mAP50_95,winner_rank_unchanged
E1_V1_BASELINE,V1 baseline,v1_baseline,0.716,0.697,0.758,0.424,2,0.716,0.698,0.758,0.423,2,0.0,-0.0010000000000000009,0.0,0.0010000000000000009,True
E2_V2_EXTENDED,V2 extended,v2_extended,0.672,0.695,0.719,0.401,8,0.672,0.695,0.719,0.4,8,0.0,0.0,0.0,0.0010000000000000009,True
E3_V3_NO_MOSAIC,V3 no mosaic,v3_no_mosaic,0.702,0.695,0.754,0.414,4,0.701,0.694,0.754,0.413,4,0.0010000000000000009,0.0010000000000000009,0.0,0.0010000000000000009,True
E4_SEED7,seed=7,seed7,0.697,0.705,0.751,0.428,1,0.697,0.704,0.751,0.427,1,0.0,0.0010000000000000009,0.0,0.0010000000000000009,True
E5_SEED123,seed=123,seed123,0.671,0.712,0.737,0.409,7,0.67,0.711,0.737,0.408,7,0.0010000000000000009,0.0010000000000000009,0.0,0.0010000000000000009,True
E6_V4_ADAMW,V4 AdamW,v4_adamw,0.703,0.686,0.737,0.413,5,0.702,0.685,0.737,0.412,5,0.0010000000000000009,0.0010000000000000009,0.0,0.0010000000000000009,True
E7_V5_COSLR,V5 cosine LR,v5_coslr,0.7,0.681,0.73,0.411,6,0.701,0.68,0.73,0.41,6,-0.0010000000000000009,0.0010000000000000009,0.0,0.0010000000000000009,True
E8_V6_NO_WARMUP,V6 no warmup,v6_no_warmup,0.694,0.705,0.744,0.417,3,0.694,0.705,0.744,0.416,3,0.0,0.0,0.0,0.0010000000000000009,True
E9_SEED42_DET,seed=42 deterministic,seed42_deterministic,0.716,0.697,0.758,0.424,2,0.716,0.698,0.758,0.423,2,0.0,-0.0010000000000000009,0.0,0.0010000000000000009,True
