experiment_name,config_file,experiment_dir,git_commit,seed,deterministic,epochs,best_epoch,imgsz,batch,optimizer,mosaic,mAP50,mAP50_95,precision,recall,train_time_s,best_pt_path,is_frozen_model
V1 baseline,configs/train/yolov8n_neudet_baseline.yaml,experiments/training/yolov8n_neudet_baseline_20260712_122943,2fddb7f,42,False,100,100,640,16,auto (AdamW),1.0,0.77699,0.44983,0.73268,0.73257,760,experiments/training/yolov8n_neudet_baseline_20260712_122943/train/weights/best.pt,False
V2 extended epochs,configs/train/yolov8n_neudet_v2.yaml,experiments/training/yolov8n_neudet_v2_20260712_125029,2fddb7f,42,False,200,111,640,16,auto (AdamW),1.0,0.75816,0.44091,0.72533,0.71047,1221,experiments/training/yolov8n_neudet_v2_20260712_125029/train/weights/best.pt,False
V3 no mosaic,configs/train/yolov8n_neudet_v3_no_mosaic.yaml,experiments/training/yolov8n_neudet_v3_no_mosaic_20260712_133730,2fddb7f,42,False,100,93,640,16,auto (AdamW),0.0,0.76621,0.43675,0.71163,0.73328,747,experiments/training/yolov8n_neudet_v3_no_mosaic_20260712_133730/train/weights/best.pt,False
seed=7 deterministic,configs/train/yolov8n_neudet_baseline_seed7.yaml,experiments/training/yolov8n_neudet_baseline_seed7_20260712_140145,2fddb7f,7,True,100,100,640,16,auto (AdamW),1.0,0.7666,0.45085,0.69223,0.74469,763,experiments/training/yolov8n_neudet_baseline_seed7_20260712_140145/train/weights/best.pt,True
seed=123 deterministic,configs/train/yolov8n_neudet_baseline_seed123.yaml,experiments/training/yolov8n_neudet_baseline_seed123_20260712_141510,2fddb7f,123,True,100,99,640,16,auto (AdamW),1.0,0.76481,0.44017,0.67694,0.76089,764,experiments/training/yolov8n_neudet_baseline_seed123_20260712_141510/train/weights/best.pt,False
seed=42 deterministic,configs/train/yolov8n_neudet_baseline_seed42_deterministic.yaml,experiments/training/yolov8n_neudet_baseline_seed42_deterministic_20260712_161806,2fddb7f,42,True,100,100,640,16,auto (AdamW),1.0,0.77699,0.44983,0.73268,0.73257,761,experiments/training/yolov8n_neudet_baseline_seed42_deterministic_20260712_161806/train/weights/best.pt,False
V4 AdamW,configs/train/yolov8n_neudet_v4_adamw.yaml,experiments/training/yolov8n_neudet_v4_adamw_20260712_142809,2fddb7f,42,True,100,98,640,16,AdamW,1.0,0.75664,0.43769,0.65529,0.75971,765,experiments/training/yolov8n_neudet_v4_adamw_20260712_142809/train/weights/best.pt,False
V5 cosine LR,configs/train/yolov8n_neudet_v5_coslr.yaml,experiments/training/yolov8n_neudet_v5_coslr_20260712_144107,2fddb7f,42,True,100,78,640,16,auto (AdamW),1.0,0.74955,0.44381,0.71953,0.70318,760,experiments/training/yolov8n_neudet_v5_coslr_20260712_144107/train/weights/best.pt,False
V6 no warmup,configs/train/yolov8n_neudet_v6_no_warmup.yaml,experiments/training/yolov8n_neudet_v6_no_warmup_20260712_145401,2fddb7f,42,True,100,99,640,16,auto (AdamW),1.0,0.76101,0.44147,0.73712,0.70795,768,experiments/training/yolov8n_neudet_v6_no_warmup_20260712_145401/train/weights/best.pt,False
