class,v0_ap50,v2r_ap50,ap50_drop,v0_recall,v2r_recall,recall_drop
crazing,0.2037064778274966,0.2037064778274966,0.0,0.3108108108108108,0.3108108108108108,0.0
inclusion,0.6287516497993013,0.6287516497993013,0.0,0.7079646017699115,0.7079646017699115,0.0
patches,0.8462547740623322,0.8462547740623322,0.0,0.8625,0.8625,0.0
pitted_surface,0.769864959184994,0.769864959184994,0.0,0.8181818181818182,0.8181818181818182,0.0
rolled-in_scale,0.563851931912887,0.563851931912887,0.0,0.6666666666666666,0.6666666666666666,0.0
scratches,0.8733229899741927,0.8733229899741927,0.0,0.8955223880597015,0.8955223880597015,0.0
